Código IES;Município
25441;São Paulo
20340;São Paulo
3896;São Paulo
19352;São Paulo
361;São Caetano do Sul
2811;São Paulo
21638;Piracicaba
1387;Santo André
21940;São Paulo
25988;São Paulo
22716;Penápolis
3456;Campinas
14890;Praia Grande
25451;São José do Rio Preto
362;São Paulo
22747;Barretos
17598;Sorocaba
14727;Guarulhos
21670;São Paulo
23194;Ribeirão Preto
4357;São Paulo
24245;São Paulo
922;Dracena
3302;Junqueirópolis
1122;Osvaldo Cruz
4596;Ribeirão Preto
2205;Tupi Paulista
14413;Mauá
20497;São Paulo
21643;São Paulo
26376;São Paulo
910;Moji Mirim
434;São Paulo
1620;Novo Horizonte
18667;Caçapava
23096;São José dos Campos
22175;São Joaquim da Barra
23228;Guarulhos
23261;São Bernardo do Campo
2368;Campinas
22096;Araras
27029;Limeira
22021;Presidente Venceslau
10323;São Paulo
2814;São Sebastião
1420;Dracena
23145;Ribeirão Preto
21826;São Paulo
1195;São Caetano do Sul
13488;São Paulo
17731;São Paulo
24960;São Paulo
23912;São Paulo
263;São Paulo
1569;Araraquara
1092;Bauru
716;Botucatu
3432;Guarulhos
1299;Fernandópolis
533;Itapetininga
1355;Jaú
19210;Taguaí
1385;São Paulo
734;Mogi Guaçu
5217;São Paulo
21502;Cotia
1870;Avaré
1838;São Paulo
13481;Cotia
109;Andradina
2575;Barretos
1844;Andradina
1266;Pereira Barreto
4793;Itararé
25446;Jacareí
11586;Sumaré
234;São Paulo
25903;São Paulo
19883;Itanhaém
25425;Campinas
3770;São Paulo
3051;São Paulo
25576;Campinas
23991;São José do Rio Preto
22985;São Paulo
2289;Araçatuba
22177;São Paulo
18372;Presidente Prudente
23409;São Paulo
21344;Votorantim
24168;São Paulo
24300;São Paulo
24275;Mauá
18258;Mauá
19586;Campinas
21204;São José do Rio Preto
20586;São Paulo
22263;São José dos Campos
1433;Lençóis Paulista
24356;São Paulo
23723;Ribeirão Preto
24325;São Paulo
1725;Socorro
2886;São Paulo
3012;Marília
15714;Moji Mirim
15680;Cruzeiro
4007;Pirassununga
14194;Votuporanga
25641;São Paulo
21952;São Paulo
2556;São Paulo
852;São Paulo
22862;São Paulo
25745;São Paulo
4925;Santo André
18165;São Paulo
170;Mococa
22769;Sorocaba
13466;São Paulo
23118;São Paulo
24525;Campinas
1161;São Paulo
17672;São Paulo
24843;São Paulo
3323;Campinas
24864;São Paulo
21509;São Paulo
4167;Paulínia
1182;Americana
26411;São Paulo
24026;Lorena
22651;São Paulo
1810;São Paulo
21850;Ribeirão Preto
1219;Itapetininga
1301;Matão
881;Assis
882;Bebedouro
79;Catanduva
745;São Manuel
25456;Campinas
25656;São Paulo
23352;São Paulo
24709;São Paulo
18698;Matão
10385;São Paulo
346;Limeira
2342;São José do Rio Preto
2922;Barretos
1930;São Paulo
2744;São Paulo
1300;Taquaritinga
1276;Taubaté
602;São José dos Campos
23235;Guarulhos
23241;São Bernardo do Campo
26443;Ribeirão Preto
11807;São Paulo
26591;São Paulo
25881;São Paulo
23868;São Paulo
19;Campinas
546;São Paulo
1723;Santo André
4943;Santos
1311;São Paulo
1046;São José do Rio Preto
466;São Paulo
319;São Paulo
227;Santos
417;São Paulo
221;São Paulo
124;Araraquara
496;Franca
420;Marília
521;Mogi das Cruzes
208;Ribeirão Preto
55;São Paulo
150;Sorocaba
665;Taubaté
271;Presidente Prudente
275;São José dos Campos
54;Campinas
56;São Paulo
7;São Carlos
591;São Paulo
458;São Paulo
266;Piracicaba
167;São Bernardo do Campo
953;Santos
605;São Caetano do Sul
316;São Paulo
322;São Paulo
22;São Paulo
952;Santos
375;São Paulo
670;Bragança Paulista
203;São Paulo
481;Guarulhos
